id,fault,truth,pred,algo_hit,human_solvable,reason,n
LIVE-6605a5f6,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,validation-enrichment,False,False,no distinguishing signal for truth,29
LIVE-dafd2922,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,validation-enrichment,False,False,no distinguishing signal for truth,24
LIVE-13aabdf1,SETTLEMENT_DB_FAILURE_LIQUIDITY_CASCADE,settlement,gateway,False,False,no distinguishing signal for truth,21
LIVE-c71169ec,AML_SERVICE_DEGRADATION_RETRY_CASCADE,aml-compliance,gateway,False,False,no distinguishing signal for truth,25
LIVE-aea4bd28,AML_SERVICE_DEGRADATION_RETRY_CASCADE,aml-compliance,gateway,False,False,no distinguishing signal for truth,30
LIVE-ac9d4f99,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,aml-compliance,False,False,no distinguishing signal for truth,33
LIVE-16440e52,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,validation-enrichment,True,True,stall:validation-enrichment=0.16,19
LIVE-375146f9,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,gateway,False,False,no distinguishing signal for truth,30
LIVE-cf9fd926,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,validation-enrichment,False,False,no distinguishing signal for truth,28
LIVE-46c46f73,SETTLEMENT_DB_FAILURE_KAFKA_CONFOUND,settlement,validation-enrichment,False,False,no distinguishing signal for truth,19
LIVE-b5bd99ca,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,validation-enrichment,True,True,z:validation-enrichment=0.71,27
LIVE-445b3604,VALIDATION_SLOWDOWN_GATEWAY_CONFOUND,validation-enrichment,validation-enrichment,True,True,stall:validation-enrichment=0.19,32
LIVE-dd95ea8e,DB_TIMEOUT,settlement,validation-enrichment,False,False,no distinguishing signal for truth,15
LIVE-a3dc5365,DB_TIMEOUT,settlement,validation-enrichment,False,False,no distinguishing signal for truth,16
LIVE-0679abe9,KAFKA_CONSUMER_LAG,routing-execution,validation-enrichment,False,False,no distinguishing signal for truth,24
LIVE-7e41ca1f,KAFKA_CONSUMER_LAG,routing-execution,validation-enrichment,False,True,z:routing-execution=0.56,15
LIVE-3ac304e5,KAFKA_CONSUMER_LAG,routing-execution,gateway,False,False,no distinguishing signal for truth,9
LIVE-4e92e4d8,NETWORK_LATENCY,validation-enrichment,gateway,False,False,no distinguishing signal for truth,18
LIVE-322172ef,NETWORK_LATENCY,validation-enrichment,gateway,False,False,no distinguishing signal for truth,19
LIVE-0db6ac08,CPU_SATURATION,aml-compliance,gateway,False,False,no distinguishing signal for truth,13
LIVE-c893fc55,CPU_SATURATION,aml-compliance,gateway,False,False,no distinguishing signal for truth,12
LIVE-5082610f,IDEMPOTENCY_COLLISION_STORM,gateway,gateway,True,True,frac:gateway=0.20,5
LIVE-aa7a31d5,IDEMPOTENCY_COLLISION_STORM,gateway,gateway,True,True,frac:gateway=0.25,4
LIVE-442d22f5,IDEMPOTENCY_COLLISION_STORM,gateway,gateway,True,True,frac:gateway=0.17,6
LIVE-e703a1e5,AML_HOLD,aml-compliance,validation-enrichment,False,False,no distinguishing signal for truth,5
LIVE-f0f0f55f,AML_HOLD,aml-compliance,validation-enrichment,False,False,no distinguishing signal for truth,4
LIVE-9b916e1f,AML_HOLD,aml-compliance,aml-compliance,True,True,frac:aml-compliance=0.25,4
LIVE-89f4b295,DB_TIMEOUT,settlement,gateway,False,False,no distinguishing signal for truth,33
LIVE-0029cef4,DB_TIMEOUT,settlement,validation-enrichment,False,False,no distinguishing signal for truth,14
LIVE-a1cf8ab7,KAFKA_CONSUMER_LAG,routing-execution,routing-execution,True,True,z:routing-execution=0.69,11
LIVE-529974c3,KAFKA_CONSUMER_LAG,routing-execution,routing-execution,True,True,z:routing-execution=0.64,16
LIVE-7eddac91,NETWORK_LATENCY,validation-enrichment,validation-enrichment,True,True,stall:validation-enrichment=0.31,16
